id,name,City,Country,ICAO,Lat,Long,Alt,Timezone,DST,Tz,type,Source
SHA,Shanghai Hongqiao International Airport,Shanghai,China,ZSSS,31.19790077,121.3359985,10,8,U,Asia/Shanghai,airport,OurAirports
YNT,Yantai Laishan Airport,Yantai,China,ZSYT,37.40169907,121.3720016,59,8,U,Asia/Shanghai,airport,OurAirports
CKG,Chongqing Jiangbei International Airport,Chongqing,China,ZUCK,29.71920013,106.6419983,1365,8,U,Asia/Shanghai,airport,OurAirports
KWE,Longdongbao Airport,Guiyang,China,ZUGY,26.53849983,106.8010025,3736,8,U,Asia/Shanghai,airport,OurAirports
CTU,Chengdu Shuangliu International Airport,Chengdu,China,ZUUU,30.57850075,103.9469986,1625,8,U,Asia/Shanghai,airport,OurAirports
XIC,Xichang Qingshan Airport,Xichang,China,ZUXC,27.9890995,102.1839981,5112,8,U,Asia/Shanghai,airport,OurAirports
KHG,Kashgar Airport,Kashi,China,ZWSH,39.54290009,76.01999664,4529,8,U,Asia/Shanghai,airport,OurAirports
HTN,Hotan Airport,Hotan,China,ZWTN,37.03850174,79.86489868,4672,8,U,Asia/Shanghai,airport,OurAirports
URC,Ürümqi Diwopu International Airport,Urumqi,China,ZWWW,43.90710068,87.47419739,2125,8,U,Asia/Shanghai,airport,OurAirports
HRB,Taiping Airport,Harbin,China,ZYHB,45.62340164,126.25,457,8,U,Asia/Shanghai,airport,OurAirports
MDG,Mudanjiang Hailang International Airport,Mudanjiang,China,ZYMD,44.52410126,129.5690002,883,8,U,Asia/Shanghai,airport,OurAirports
DLC,Zhoushuizi Airport,Dalian,China,ZYTL,38.96569824,121.5390015,107,8,U,Asia/Shanghai,airport,OurAirports
PVG,Shanghai Pudong International Airport,Shanghai,China,ZSPD,31.14340019,121.8050003,13,8,U,Asia/Shanghai,airport,OurAirports
TOD,Pulau Tioman Airport,Tioman,Malaysia,WMBT,2.818180084,104.1600037,15,8,N,Asia/Kuala_Lumpur,airport,OurAirports
SZB,Sultan Abdul Aziz Shah International Airport,Kuala Lumpur,Malaysia,WMSA,3.130579948,101.5490036,90,8,N,Asia/Kuala_Lumpur,airport,OurAirports
NTQ,Noto Airport,Wajima,Japan,RJNW,37.29309845,136.9620056,718,9,U,Asia/Tokyo,airport,OurAirports
HBE,Borg El Arab International Airport,Alexandria,Egypt,HEBA,30.91769981,29.69639969,177,2,U,Africa/Cairo,airport,OurAirports
BTI,Barter Island LRRS Airport,Barter Island,United States,PABA,70.13400269,-143.5820007,2,-9,A,America/Anchorage,airport,OurAirports
\N,Wainwright Air Station,Fort Wainwright,United States,PAWT,70.61340332,-159.8600006,35,-9,A,America/Anchorage,airport,OurAirports
LUR,Cape Lisburne LRRS Airport,Cape Lisburne,United States,PALU,68.87509918,-166.1100006,16,-9,A,America/Anchorage,airport,OurAirports
PIZ,Point Lay LRRS Airport,Point Lay,United States,PPIZ,69.73290253,-163.0050049,22,-9,A,America/Anchorage,airport,OurAirports
ITO,Hilo International Airport,Hilo,United States,PHTO,19.72139931,-155.0480042,38,-10,N,Pacific/Honolulu,airport,OurAirports
ORL,Orlando Executive Airport,Orlando,United States,KORL,28.5455,-81.332901,113,-5,A,America/New_York,airport,OurAirports
BTT,Bettles Airport,Bettles,United States,PABT,66.91390228,-151.529007,647,-9,A,America/Anchorage,airport,OurAirports
\N,Clear Airport,Clear Mews,United States,PACL,64.301201,-149.119995,552,-9,A,America/Anchorage,airport,OurAirports
UTO,Indian Mountain LRRS Airport,Indian Mountains,United States,PAIM,65.99279785,-153.7039948,1273,-9,A,America/Anchorage,airport,OurAirports
FYU,Fort Yukon Airport,Fort Yukon,United States,PFYU,66.57150269,-145.25,433,-9,A,America/Anchorage,airport,OurAirports
SVW,Sparrevohn LRRS Airport,Sparrevohn,United States,PASV,61.09740067,-155.5740051,1585,-9,A,America/Anchorage,airport,OurAirports
FRN,Bryant Army Heliport,Fort Richardson,United States,PAFR,61.26639938,-149.6529999,378,-9,A,America/Anchorage,airport,OurAirports
TLJ,Tatalina LRRS Airport,Tatalina,United States,PATL,62.89440155,-155.977005,964,-9,A,America/Anchorage,airport,OurAirports
CZF,Cape Romanzof LRRS Airport,Cape Romanzof,United States,PACZ,61.78030014,-166.0390015,464,-9,A,America/Anchorage,airport,OurAirports
BED,Laurence G Hanscom Field,Bedford,United States,KBED,42.47000122,-71.28900146,133,-5,A,America/New_York,airport,OurAirports
SNP,St Paul Island Airport,St. Paul Island,United States,PASN,57.16730118,-170.2200012,63,-9,A,America/Anchorage,airport,OurAirports
EHM,Cape Newenham LRRS Airport,Cape Newenham,United States,PAEH,58.64640045,-162.0630035,541,-9,A,America/Anchorage,airport,OurAirports
STG,St George Airport,Point Barrow,United States,PAPB,56.57830048,-169.6620026,125,-9,A,America/Anchorage,airport,OurAirports
ILI,Iliamna Airport,Iliamna,United States,PAIL,59.75439835,-154.9109955,192,-9,A,America/Anchorage,airport,OurAirports
PTU,Platinum Airport,Port Moller,United States,PAPM,59.01139832,-161.8200073,15,-9,A,America/Anchorage,airport,OurAirports
BMX,Big Mountain Airport,Big Mountain,United States,PABM,59.36119843,-155.2590027,663,-9,A,America/Anchorage,airport,OurAirports
OSC,Oscoda Wurtsmith Airport,Oscoda,United States,KOSC,44.451599,-83.394096,633,-5,A,America/New_York,airport,OurAirports
OAR,Marina Municipal Airport,Fort Ord,United States,KOAR,36.68190002,-121.762001,137,-8,A,America/Los_Angeles,airport,OurAirports
MHR,Sacramento Mather Airport,Sacramento,United States,KMHR,38.55390167,-121.2979965,98,-8,A,America/Los_Angeles,airport,OurAirports
BYS,Bicycle Lake Army Air Field,Fort Irwin,United States,KBYS,35.2804985,-116.6299973,2350,-8,A,America/Los_Angeles,airport,OurAirports
\N,Twentynine Palms (Self) Airport,Twenty Nine Palms,United States,KNXP,34.2961998,-116.1620026,2051,-8,A,America/Los_Angeles,airport,OurAirports
FSM,Fort Smith Regional Airport,Fort Smith,United States,KFSM,35.33660126,-94.36740112,469,-6,A,America/Chicago,airport,OurAirports
MRI,Merrill Field,Anchorage,United States,PAMR,61.21350098,-149.8439941,137,-9,A,America/Anchorage,airport,OurAirports
GNT,Grants-Milan Municipal Airport,Grants,United States,KGNT,35.16730118,-107.9020004,6537,-7,A,America/Denver,airport,OurAirports
PNC,Ponca City Regional Airport,Ponca City,United States,KPNC,36.73199844,-97.09980011,1008,-6,A,America/Chicago,airport,OurAirports
SVN,Hunter Army Air Field,Hunter Aaf,United States,KSVN,32.00999832,-81.14569855,41,-5,A,America/New_York,airport,OurAirports
GFK,Grand Forks International Airport,Grand Forks,United States,KGFK,47.949299,-97.176102,845,-6,A,America/Chicago,airport,OurAirports
PBF,"Pine Bluff Regional Airport, Grider Field",Pine Bluff,United States,KPBF,34.1731,-91.9356,206,-6,A,America/Chicago,airport,OurAirports
NSE,Whiting Field Naval Air Station - North,Milton,United States,KNSE,30.7241993,-87.02189636,199,-6,A,America/Chicago,airport,OurAirports
HNM,Hana Airport,Hana,United States,PHHN,20.79560089,-156.0140076,78,-10,A,Pacific/Honolulu,airport,OurAirports
PRC,Ernest A. Love Field,Prescott,United States,KPRC,34.65449905,-112.4199982,5045,-7,A,America/Phoenix,airport,OurAirports
TTN,Trenton Mercer Airport,Trenton,United States,KTTN,40.27669907,-74.81349945,213,-5,A,America/New_York,airport,OurAirports
BOS,General Edward Lawrence Logan International Airport,Boston,United States,KBOS,42.36429977,-71.00520325,20,-5,A,America/New_York,airport,OurAirports
SUU,Travis Air Force Base,Fairfield,United States,KSUU,38.26269913,-121.927002,62,-8,A,America/Los_Angeles,airport,OurAirports
RME,Griffiss International Airport,Rome,United States,KRME,43.23379898,-75.40699768,504,-5,A,America/New_York,airport,OurAirports
ENV,Wendover Airport,Wendover,United States,KENV,40.71870041,-114.0309982,4237,-7,A,America/Denver,airport,OurAirports
BFM,Mobile Downtown Airport,Mobile,United States,KBFM,30.62680054,-88.06809998,26,-6,A,America/Chicago,airport,OurAirports
OAK,Metropolitan Oakland International Airport,Oakland,United States,KOAK,37.721298,-122.221001,9,-8,A,America/Los_Angeles,airport,OurAirports
OMA,Eppley Airfield,Omaha,United States,KOMA,41.3032,-95.894096,984,-6,A,America/Chicago,airport,OurAirports
\N,Port Angeles Cgas Airport,Port Angeles,United States,KNOW,48.14149857,-123.4140015,13,-8,A,America/Los_Angeles,airport,OurAirports
OGG,Kahului Airport,Kahului,United States,PHOG,20.8986,-156.429993,54,-10,N,Pacific/Honolulu,airport,OurAirports
ICT,Wichita Eisenhower National Airport,Wichita,United States,KICT,37.649899,-97.433098,1333,-6,A,America/Chicago,airport,OurAirports
MCI,Kansas City International Airport,Kansas City,United States,KMCI,39.2976,-94.713898,1026,-6,A,America/Chicago,airport,OurAirports
MSN,Dane County Regional Truax Field,Madison,United States,KMSN,43.13990021,-89.33750153,887,-6,A,America/Chicago,airport,OurAirports
DLG,Dillingham Airport,Dillingham,United States,PADL,59.04470062,-158.5050049,81,-9,A,America/Anchorage,airport,OurAirports
HRO,Boone County Airport,Harrison,United States,KHRO,36.26150131,-93.15470123,1365,-6,A,America/Chicago,airport,OurAirports
PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,KPHX,33.43429947,-112.012001,1135,-7,N,America/Phoenix,airport,OurAirports
BGR,Bangor International Airport,Bangor,United States,KBGR,44.80739975,-68.82810211,192,-5,A,America/New_York,airport,OurAirports
FXE,Fort Lauderdale Executive Airport,Fort Lauderdale,United States,KFXE,26.19729996,-80.17070007,13,-5,A,America/New_York,airport,OurAirports
GGG,East Texas Regional Airport,Longview,United States,KGGG,32.38399887,-94.71150208,365,-6,A,America/Chicago,airport,OurAirports
AND,Anderson Regional Airport,Andersen,United States,KAND,34.49459839,-82.70939636,782,-5,A,America/New_York,airport,OurAirports
GEG,Spokane International Airport,Spokane,United States,KGEG,47.61989975,-117.5339966,2376,-8,A,America/Los_Angeles,airport,OurAirports
HWO,North Perry Airport,Hollywood,United States,KHWO,26.0012,-80.2407,8,-5,A,America/New_York,airport,OurAirports
SFO,San Francisco International Airport,San Francisco,United States,KSFO,37.61899948,-122.375,13,-8,A,America/Los_Angeles,airport,OurAirports
CTB,Cut Bank International Airport,Cutbank,United States,KCTB,48.60839844,-112.3759995,3854,-7,A,America/Denver,airport,OurAirports
ARA,Acadiana Regional Airport,Louisiana,United States,KARA,30.0378,-91.883904,24,-6,A,America/Chicago,airport,OurAirports
GNV,Gainesville Regional Airport,Gainesville,United States,KGNV,29.69009972,-82.27179718,152,-5,A,America/New_York,airport,OurAirports
MEM,Memphis International Airport,Memphis,United States,KMEM,35.04240036,-89.97669983,341,-6,A,America/Chicago,airport,OurAirports
DUG,Bisbee Douglas International Airport,Douglas,United States,KDUG,31.46899986,-109.6039963,4154,-7,A,America/Phoenix,airport,OurAirports
BIG,Allen Army Airfield,Delta Junction,United States,PABI,63.99449921,-145.7220001,1291,-9,A,America/Anchorage,airport,OurAirports
CNW,TSTC Waco Airport,Waco,United States,KCNW,31.63780022,-97.07409668,470,-6,A,America/Chicago,airport,OurAirports
ANN,Annette Island Airport,Annette Island,United States,PANT,55.04240036,-131.5720062,119,-9,A,America/Anchorage,airport,OurAirports
CAR,Caribou Municipal Airport,Caribou,United States,KCAR,46.87149811,-68.01789856,626,-5,A,America/New_York,airport,OurAirports
LRF,Little Rock Air Force Base,Jacksonville,United States,KLRF,34.91690063,-92.14969635,311,-6,A,America/Chicago,airport,OurAirports
HUA,Redstone Army Air Field,Redstone,United States,KHUA,34.67869949,-86.68479919,684,-6,A,America/Chicago,airport,OurAirports
POB,Pope Field,Fort Bragg,United States,KPOB,35.17089844,-79.01450348,217,-5,A,America/New_York,airport,OurAirports
DHT,Dalhart Municipal Airport,Dalhart,United States,KDHT,36.02259827,-102.5469971,3991,-6,A,America/Chicago,airport,OurAirports
DLF,DLF Airport,Del Rio,United States,KDLF,29.359501,-100.778002,1082,-6,A,America/Chicago,airport,OurAirports
LAX,Los Angeles International Airport,Los Angeles,United States,KLAX,33.94250107,-118.4079971,125,-8,A,America/Los_Angeles,airport,OurAirports
ANB,Anniston Regional Airport,Anniston,United States,KANB,33.5882,-85.8581,612,-6,A,America/Chicago,airport,OurAirports
CLE,Cleveland Hopkins International Airport,Cleveland,United States,KCLE,41.4117012,-81.84980011,791,-5,A,America/New_York,airport,OurAirports
DOV,Dover Air Force Base,Dover,United States,KDOV,39.12950134,-75.46600342,24,-5,A,America/New_York,airport,OurAirports
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,KCVG,39.04880142,-84.6678009,896,-5,A,America/New_York,airport,OurAirports
FME,Tipton Airport,Fort Meade,United States,KFME,39.08539963,-76.75939941,150,-5,A,America/New_York,airport,OurAirports
\N,China Lake Naws (Armitage Field) Airport,China Lake,United States,KNID,35.6853981,-117.6920013,2283,-8,A,America/Los_Angeles,airport,OurAirports
HON,Huron Regional Airport,Huron,United States,KHON,44.3852005,-98.22850037,1289,-6,A,America/Chicago,airport,OurAirports
JNU,Juneau International Airport,Juneau,United States,PAJN,58.35499954,-134.576004,21,-9,A,America/Anchorage,airport,OurAirports
LFT,Lafayette Regional Airport,Lafayette,United States,KLFT,30.20529938,-91.98760223,42,-6,A,America/Chicago,airport,OurAirports
EWR,Newark Liberty International Airport,Newark,United States,KEWR,40.69250107,-74.16870117,18,-5,A,America/New_York,airport,OurAirports
BOI,Boise Air Terminal/Gowen Field,Boise,United States,KBOI,43.5644,-116.223,2871,-7,A,America/Denver,airport,OurAirports
INS,Creech Air Force Base,Indian Springs,United States,KINS,36.58720016,-115.6729965,3133,-8,A,America/Los_Angeles,airport,OurAirports
GCK,Garden City Regional Airport,Garden City,United States,KGCK,37.92750168,-100.723999,2891,-6,A,America/Chicago,airport,OurAirports
MOT,Minot International Airport,Minot,United States,KMOT,48.25939941,-101.2799988,1716,-6,A,America/Chicago,airport,OurAirports
HHI,Wheeler Army Airfield,Wahiawa,United States,PHHI,21.48349953,-158.0399933,837,-10,A,Pacific/Honolulu,airport,OurAirports
MXF,Maxwell Air Force Base,Montgomery,United States,KMXF,32.3829,-86.365799,171,-6,A,America/Chicago,airport,OurAirports
\N,Robinson Army Air Field,Robinson,United States,KRBM,34.85010147,-92.30020142,587,-6,A,America/Chicago,airport,OurAirports
DAL,Dallas Love Field,Dallas,United States,KDAL,32.847099,-96.851799,487,-6,A,America/Chicago,airport,OurAirports
FCS,Butts AAF (Fort Carson) Air Field,Fort Carson,United States,KFCS,38.67839813,-104.7570038,5838,-7,A,America/Denver,airport,OurAirports
HLN,Helena Regional Airport,Helena,United States,KHLN,46.60680008,-111.9830017,3877,-7,A,America/Denver,airport,OurAirports
NKX,Miramar Marine Corps Air Station - Mitscher Field,Miramar,United States,KNKX,32.86840057,-117.1429977,477,-8,A,America/Los_Angeles,airport,OurAirports
LUF,Luke Air Force Base,Phoenix,United States,KLUF,33.53499985,-112.3830032,1085,-7,A,America/Phoenix,airport,OurAirports
\N,Hurlburt Field,Mary Esther,United States,KHRT,30.42779922,-86.68930054,38,-6,A,America/Chicago,airport,OurAirports
HHR,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,United States,KHHR,33.922798,-118.334999,66,-8,A,America/Los_Angeles,airport,OurAirports
HUL,Houlton International Airport,Houlton,United States,KHUL,46.12310028,-67.792099,489,-5,A,America/New_York,airport,OurAirports
END,Vance Air Force Base,Enid,United States,KEND,36.33919907,-97.91649628,1307,-6,A,America/Chicago,airport,OurAirports
NTD,Point Mugu Naval Air Station (Naval Base Ventura Co),Point Mugu,United States,KNTD,34.12030029,-119.1210022,13,-8,A,America/Los_Angeles,airport,OurAirports
EDW,Edwards Air Force Base,Edwards Afb,United States,KEDW,34.905399,-117.884003,2312,-8,A,America/Los_Angeles,airport,OurAirports
LCH,Lake Charles Regional Airport,Lake Charles,United States,KLCH,30.12610054,-93.22329712,15,-6,A,America/Chicago,airport,OurAirports
KOA,Ellison Onizuka Kona International At Keahole Airport,Kona,United States,PHKO,19.738783,-156.045603,47,-10,N,Pacific/Honolulu,airport,OurAirports
MYR,Myrtle Beach International Airport,Myrtle Beach,United States,KMYR,33.67969894,-78.92829895,25,-5,A,America/New_York,airport,OurAirports
NLC,Lemoore Naval Air Station (Reeves Field) Airport,Lemoore,United States,KNLC,36.33300018,-119.9520035,232,-8,A,America/Los_Angeles,airport,OurAirports
ACK,Nantucket Memorial Airport,Nantucket,United States,KACK,41.25310135,-70.06020355,47,-5,A,America/New_York,airport,OurAirports
FAF,Felker Army Air Field,Fort Eustis,United States,KFAF,37.13249969,-76.6088028,12,-5,A,America/New_York,airport,OurAirports
HOP,Campbell AAF (Fort Campbell) Air Field,Hopkinsville,United States,KHOP,36.66859818,-87.49620056,573,-6,A,America/Chicago,airport,OurAirports
DCA,Ronald Reagan Washington National Airport,Washington,United States,KDCA,38.8521,-77.037697,15,-5,A,America/New_York,airport,OurAirports
NHK,Patuxent River Naval Air Station (Trapnell Field),Patuxent River,United States,KNHK,38.285999,-76.411797,39,-5,A,America/New_York,airport,OurAirports
PSX,Palacios Municipal Airport,Palacios,United States,KPSX,28.72750092,-96.25099945,14,-6,A,America/Chicago,airport,OurAirports
BYH,Arkansas International Airport,Blytheville,United States,KBYH,35.96429825,-89.94400024,254,-6,A,America/Chicago,airport,OurAirports
ACY,Atlantic City International Airport,Atlantic City,United States,KACY,39.45759964,-74.57720184,75,-5,A,America/New_York,airport,OurAirports
TIK,Tinker Air Force Base,Oklahoma City,United States,KTIK,35.41469955,-97.38659668,1291,-6,A,America/Chicago,airport,OurAirports
ECG,Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City,United States,KECG,36.26060104,-76.17459869,12,-5,A,America/New_York,airport,OurAirports
PUB,Pueblo Memorial Airport,Pueblo,United States,KPUB,38.28910065,-104.4970016,4726,-7,A,America/Denver,airport,OurAirports
PQI,Northern Maine Regional Airport at Presque Isle,Presque Isle,United States,KPQI,46.68899918,-68.0447998,534,-5,A,America/New_York,airport,OurAirports
GRF,Gray Army Air Field,Fort Lewis,United States,KGRF,47.07920074,-122.5810013,300,-8,A,America/Los_Angeles,airport,OurAirports
ADQ,Kodiak Airport,Kodiak,United States,PADQ,57.75,-152.4940033,78,-9,A,America/Anchorage,airport,OurAirports
UPP,Upolu Airport,Opolu,United States,PHUP,20.26530075,-155.8600006,96,-10,A,Pacific/Honolulu,airport,OurAirports
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,A,America/New_York,airport,OurAirports
\N,Muskogee-Davis Regional Airport,Muskogee,United States,KMKO,35.656502,-95.366699,611,-6,A,America/Chicago,airport,OurAirports
INL,Falls International Airport,International Falls,United States,KINL,48.56620026,-93.40309906,1185,-6,A,America/Chicago,airport,OurAirports
SLC,Salt Lake City International Airport,Salt Lake City,United States,KSLC,40.78839874,-111.9779968,4227,-7,A,America/Denver,airport,OurAirports
CDS,Childress Municipal Airport,Childress,United States,KCDS,34.43379974,-100.288002,1954,-6,A,America/Chicago,airport,OurAirports
BIX,Keesler Air Force Base,Biloxi,United States,KBIX,30.41040039,-88.92440033,33,-6,A,America/Chicago,airport,OurAirports
LSF,Lawson Army Air Field (Fort Benning),Fort Benning,United States,KLSF,32.33729935,-84.99130249,232,-5,A,America/New_York,airport,OurAirports
NQI,Kingsville Naval Air Station,Kingsville,United States,KNQI,27.50720024,-97.80970001,50,-6,A,America/Chicago,airport,OurAirports
FRI,Marshall Army Air Field,Fort Riley,United States,KFRI,39.05530167,-96.76450348,1065,-6,A,America/Chicago,airport,OurAirports
MDT,Harrisburg International Airport,Harrisburg,United States,KMDT,40.19350052,-76.76339722,310,-5,A,America/New_York,airport,OurAirports
LNK,Lincoln Airport,Lincoln,United States,KLNK,40.85100174,-96.75920105,1219,-6,A,America/Chicago,airport,OurAirports
LAN,Capital City Airport,Lansing,United States,KLAN,42.77870178,-84.58740234,861,-5,A,America/New_York,airport,OurAirports
MUE,Waimea Kohala Airport,Kamuela,United States,PHMU,20.00130081,-155.6679993,2671,-10,A,Pacific/Honolulu,airport,OurAirports
MSS,Massena International Richards Field,Massena,United States,KMSS,44.93579865,-74.84559631,215,-5,A,America/New_York,airport,OurAirports
HKY,Hickory Regional Airport,Hickory,United States,KHKY,35.74110031,-81.38950348,1190,-5,A,America/New_York,airport,OurAirports
SPG,Albert Whitted Airport,St. Petersburg,United States,KSPG,27.7651,-82.626999,7,-5,A,America/New_York,airport,OurAirports
FMY,Page Field,Fort Myers,United States,KFMY,26.58659935,-81.86329651,17,-5,A,America/New_York,airport,OurAirports
IAH,George Bush Intercontinental Houston Airport,Houston,United States,KIAH,29.9843998,-95.34140015,97,-6,A,America/Chicago,airport,OurAirports
\N,Millinocket Municipal Airport,Millinocket,United States,KMLT,45.64780045,-68.68560028,408,-5,A,America/New_York,airport,OurAirports
